case,iyear,imonth,iday,country_txt,city,latitude,longitude,attacktype1_txt,nkill,nwound,level
110,2012,1,5,Iraq,Al-Batha,31.135535,45.861207,Bombing/Explosion,45.0,70.0,55.0
172,2012,1,6,Syria,Damascus,33.5111,36.3064,Bombing/Explosion,26.0,46.0,34.0
233,2012,1,10,Pakistan,Jamrud,34.000016,71.383411,Bombing/Explosion,35.0,60.0,45.0
335,2012,1,14,Iraq,Basra,30.5,47.816667,Bombing/Explosion,54.0,131.0,84.80000000000001
556,2012,1,24,Somalia,Beledweyne,4.735972,45.203972,Bombing/Explosion,31.0,70.0,46.599999999999994
621,2012,1,27,Iraq,Baghdad,33.271403,44.493661,Bombing/Explosion,32.0,60.0,43.2
718,2012,2,1,Colombia,Tumaco,1.806567,-78.76485,Bombing/Explosion,9.0,70.0,33.4
888,2012,2,10,Syria,Aleppo,36.215578,37.159272,Bombing/Explosion,15.0,100.0,49.0
889,2012,2,10,Syria,Aleppo,36.215578,37.159272,Bombing/Explosion,15.0,100.0,49.0
993,2012,2,17,Pakistan,Parachinar,33.899167,70.100833,Bombing/Explosion,40.0,64.0,49.6
1042,2012,2,20,Nigeria,Maiduguri,11.833373,13.149902,Bombing/Explosion,38.0,0.0,22.8
1095,2012,2,23,Iraq,Musayyib,32.778611,44.29,Bombing/Explosion,1.0,60.0,24.6
1106,2012,2,23,Pakistan,Bahadur Kalay,33.968178,71.551622,Bombing/Explosion,12.0,36.0,21.6
1130,2012,2,23,Pakistan,Peshawar,34.004274,71.5448,Bombing/Explosion,15.0,32.0,21.8
1151,2012,2,25,Yemen,Mukalla,14.543537,49.127285,Bombing/Explosion,31.0,50.0,38.599999999999994
1304,2012,3,2,Pakistan,Tirah district,33.8125,70.676944,Bombing/Explosion,23.0,20.0,21.799999999999997
1513,2012,3,11,Pakistan,Badaber,33.923611,71.561111,Bombing/Explosion,18.0,35.0,24.799999999999997
1629,2012,3,17,Syria,Damascus,33.5111,36.3064,Bombing/Explosion,14.5,70.0,36.7
1630,2012,3,17,Syria,Damascus,33.5111,36.3064,Bombing/Explosion,14.5,70.0,36.7
1902,2012,3,31,Thailand,Hat Yai,7.001944,100.457222,Bombing/Explosion,14.0,400.0,168.4
2088,2012,4,8,Nigeria,Kaduna,10.516667,7.433333,Bombing/Explosion,42.0,10.0,29.2
2110,2012,4,9,Somalia,Baidoa,3.116667,43.65,Bombing/Explosion,12.0,35.0,21.2
2713,2012,5,2,Egypt,Al-Waili,30.070369,31.282664,Bombing/Explosion,11.0,49.0,26.200000000000003
2714,2012,5,3,Russia,Makhachkala,42.978368,47.491066000000004,Bombing/Explosion,1.0,50.5,20.800000000000004
2715,2012,5,3,Russia,Makhachkala,42.978368,47.491066000000004,Bombing/Explosion,14.0,50.5,28.6
2740,2012,5,4,Pakistan,Khar,34.730041,71.521948,Bombing/Explosion,21.0,40.0,28.6
2883,2012,5,10,Syria,Damascus,33.5111,36.3064,Bombing/Explosion,57.0,370.0,182.2
3021,2012,5,14,Pakistan,Quetta,30.209304,67.018137,Bombing/Explosion,6.0,58.0,26.800000000000004
3189,2012,5,19,Syria,Deir ez-Zor,35.333389,40.15002,Bombing/Explosion,10.0,100.0,46.0
3223,2012,5,21,Yemen,Sanaa,15.352029,44.207456,Bombing/Explosion,97.0,300.0,178.2
3475,2012,5,31,Iraq,Baghdad,33.361103,44.314193,Bombing/Explosion,11.0,36.0,21.0
3561,2012,6,4,Iraq,Bab Al-Moatham,33.354802,44.391023,Bombing/Explosion,26.0,65.0,41.6
3612,2012,6,5,Pakistan,Gilgit,35.918091,74.289803,Bombing/Explosion,6.0,50.0,23.6
3652,2012,6,7,Pakistan,Quetta,30.165686,67.00178,Bombing/Explosion,14.0,40.0,24.4
3681,2012,6,8,Pakistan,Gulbela,34.119318,71.651019,Bombing/Explosion,19.0,40.0,27.4
3767,2012,6,11,Pakistan,Dringarh,29.90265,66.753111,Bombing/Explosion,6.0,50.0,23.6
3830,2012,6,13,Iraq,Hillah,32.482956,44.434507,Bombing/Explosion,20.0,38.0,27.200000000000003
3916,2012,6,16,Pakistan,Landi Kotal,34.0989,71.14978,Bombing/Explosion,25.0,50.0,35.0
3918,2012,6,16,Iraq,Baghdad,33.381063,44.345039,Bombing/Explosion,18.0,36.0,25.2
3919,2012,6,16,Iraq,Baghdad,33.32717,44.423113,Bombing/Explosion,14.0,32.0,21.200000000000003
3956,2012,6,18,Iraq,Baqubah,33.749892,44.633421,Bombing/Explosion,16.0,40.0,25.6
3966,2012,6,18,Nigeria,Damaturu,11.675909,12.11569,Bombing/Explosion,8.33,99.0,44.598
4014,2012,6,20,Afghanistan,Spin Jumat,33.33445,69.920151,Bombing/Explosion,22.0,31.0,25.6
4043,2012,6,22,Iraq,Baghdad,33.356774,44.484232,Bombing/Explosion,6.5,50.0,23.9
4044,2012,6,22,Iraq,Baghdad,33.356774,44.484232,Bombing/Explosion,6.5,50.0,23.9
4195,2012,6,28,Iraq,Baqubah,33.749892,44.633421,Bombing/Explosion,6.0,51.0,24.0
4304,2012,7,3,Iraq,Diwaniyah,31.989167,44.924722,Bombing/Explosion,25.0,40.0,31.0
5106,2012,8,4,Yemen,Jaar,13.223056,45.305556,Bombing/Explosion,46.0,40.0,43.599999999999994
5410,2012,8,14,Afghanistan,Zaranj,30.96,61.86,Bombing/Explosion,11.0,36.7,21.28
5411,2012,8,14,Afghanistan,Zaranj,30.96,61.86,Bombing/Explosion,11.0,36.7,21.28
5412,2012,8,14,Afghanistan,Zaranj,30.96,61.86,Bombing/Explosion,11.0,36.6,21.240000000000002
5496,2012,8,16,Iraq,Baghdad,33.389638,44.46091,Bombing/Explosion,16.0,49.0,29.200000000000003
5586,2012,8,20,Turkey,Gaziantep,37.066076,37.378553,Bombing/Explosion,10.0,67.0,32.8
5747,2012,8,28,Syria,Jaramana,33.483333,36.35,Bombing/Explosion,12.0,48.0,26.400000000000002
5816,2012,9,1,Afghanistan,Saydabad,33.895519,68.763192,Bombing/Explosion,14.0,69.0,36.0
5880,2012,9,4,Afghanistan,Dur Baba,34.03949,70.930077,Bombing/Explosion,26.0,50.0,35.6
6005,2012,9,9,Iraq,Amarah,31.837555,47.151015,Bombing/Explosion,14.0,60.0,32.4
6006,2012,9,9,Iraq,Baghdad,33.389638,44.46091,Bombing/Explosion,13.0,32.0,20.6
6013,2012,9,9,Iraq,Unknown,35.290356,44.007872,Bombing/Explosion,7.0,40.0,20.2
6044,2012,9,9,Syria,Aleppo,36.215549,37.159279,Bombing/Explosion,17.0,40.0,26.2
6055,2012,9,10,Pakistan,Parachinar,33.899167,70.100833,Bombing/Explosion,14.0,70.0,36.4
6289,2012,9,23,Nigeria,Bauchi,10.30982,9.845172,Bombing/Explosion,3.0,48.0,21.000000000000004
6368,2012,9,27,Iraq,Tikrit,34.604328,43.68557,Bombing/Explosion,13.0,34.0,21.400000000000002
6457,2012,10,1,Afghanistan,Khost,33.33445,69.920151,Bombing/Explosion,21.0,57.0,35.4
6768,2012,10,13,Pakistan,Dara Adam Khel,33.686152,71.514528,Bombing/Explosion,17.0,30.0,22.2
6912,2012,10,19,Lebanon,Beirut,33.884867,35.517895,Bombing/Explosion,8.0,78.0,36.0
6940,2012,10,20,Iraq,Baghdad,33.361103,44.314193,Bombing/Explosion,11.0,35.0,20.6
7089,2012,10,26,Afghanistan,Maymana,35.92017,64.776314,Bombing/Explosion,42.0,50.0,45.2
7159,2012,10,28,Nigeria,Malali,10.516667,7.433333,Bombing/Explosion,3.0,100.0,41.8
7182,2012,10,29,Syria,Jaramana,33.483333,36.35,Bombing/Explosion,10.0,41.0,22.400000000000002
7351,2012,11,6,Iraq,Taji,33.509167,44.234167,Bombing/Explosion,29.0,40.0,33.4
7355,2012,11,6,Syria,Hai al-Wuroud,33.5111,36.3064,Bombing/Explosion,10.0,40.0,22.0
7731,2012,11,21,Pakistan,Rawalpindi,33.605801,73.043747,Bombing/Explosion,25.0,62.0,39.8
7756,2012,11,23,Afghanistan,Maydan Shahr,34.361059,68.840693,Bombing/Explosion,4.0,90.0,38.4
7788,2012,11,25,Pakistan,Dera Ismail Khan,31.823759,70.9095,Bombing/Explosion,5.0,83.0,36.2
7856,2012,11,28,Syria,Jaramana,33.483333,36.35,Bombing/Explosion,36.0,83.0,54.8
7894,2012,11,29,Iraq,Hillah,32.483321,44.433642,Bombing/Explosion,13.0,40.0,23.8
7895,2012,11,29,Iraq,Hillah,32.483321,44.433642,Bombing/Explosion,13.0,40.0,23.8
8010,2012,12,12,Syria,Damascus,33.5111,36.3064,Bombing/Explosion,8.0,50.0,24.8
8193,2012,12,15,Pakistan,Peshawar,34.004274,71.5448,Bombing/Explosion,14.0,40.0,24.4
8237,2012,12,17,Iraq,Baghdad,33.324999,44.422009,Bombing/Explosion,11.0,40.0,22.6
8256,2012,12,17,Pakistan,Jamrud,34.00012,71.383252,Bombing/Explosion,21.0,66.0,39.0
8431,2012,12,29,Pakistan,Karachi,24.853185,67.016672,Bombing/Explosion,7.0,50.0,24.2
8442,2012,12,30,Pakistan,Mastung,29.800158,66.849889,Bombing/Explosion,19.0,25.0,21.4
8521,2013,1,1,Pakistan,Karachi,24.92808,67.064331,Bombing/Explosion,4.0,45.0,20.4
8553,2013,1,3,Iraq,Musayyib,32.778471,44.28981,Bombing/Explosion,28.0,60.0,40.8
8555,2013,1,3,Syria,Barzeh al-Balad,33.549054,36.31459,Bombing/Explosion,11.0,40.0,22.6
8736,2013,1,10,Pakistan,Quetta,30.207454,67.015121,Bombing/Explosion,53.5,84.5,65.9
8737,2013,1,10,Pakistan,Quetta,30.207454,67.015121,Bombing/Explosion,53.5,84.5,65.9
8738,2013,1,10,Pakistan,Quetta,30.207454,67.015121,Bombing/Explosion,12.0,50.0,27.2
8739,2013,1,10,Pakistan,Mingora,34.777434,72.363113,Bombing/Explosion,31.0,70.0,46.599999999999994
8875,2013,1,15,Syria,Aleppo,36.215549,37.159279,Bombing/Explosion,41.0,80.0,56.599999999999994
8876,2013,1,15,Syria,Aleppo,36.215549,37.159279,Bombing/Explosion,41.0,80.0,56.599999999999994
8908,2013,1,16,Iraq,Kirkuk,35.46872,44.392176,Bombing/Explosion,18.0,90.0,46.8
9017,2013,1,21,Syria,Salmiyeh,35.013332,37.0525,Bombing/Explosion,31.0,24.0,28.2
9070,2013,1,23,Iraq,Tuz Khormato,34.88562,44.639339,Bombing/Explosion,43.0,75.0,55.8
9330,2013,2,1,Pakistan,Hangu,33.534097,71.058001,Bombing/Explosion,25.0,55.0,37.0
9354,2013,2,2,Pakistan,Serai Naurang,32.821074,70.779198,Bombing/Explosion,35.0,8.0,24.2
9374,2013,2,3,Iraq,Kirkuk,35.46883,44.39098,Bombing/Explosion,36.0,70.0,49.599999999999994
9390,2013,2,4,Iraq,Taji,33.529444,44.2775,Bombing/Explosion,22.0,44.0,30.8
9481,2013,2,8,Pakistan,Kalaya,33.742381,70.965883,Bombing/Explosion,13.0,31.0,20.2
9669,2013,2,16,Pakistan,Quetta,30.181994,66.957103,Bombing/Explosion,91.0,169.0,122.20000000000002
9821,2013,2,21,India,Hyderabad,17.376812,78.487812,Bombing/Explosion,8.0,58.5,28.200000000000003
9822,2013,2,21,India,Hyderabad,17.376812,78.487812,Bombing/Explosion,8.0,58.5,28.200000000000003
9823,2013,2,21,Syria,Damascus,33.508302,36.294296,Bombing/Explosion,62.0,201.0,117.6
10027,2013,3,1,Iraq,Diwaniyah,31.989167,44.924722,Bombing/Explosion,5.0,50.0,23.0
10057,2013,3,3,Pakistan,Karachi,24.941464,67.093003,Bombing/Explosion,45.0,151.0,87.4
10079,2013,3,4,Iraq,Rutba,33.038056,40.284444,Bombing/Explosion,57.0,7.0,36.99999999999999
10275,2013,3,11,Iraq,Dibis,35.671944,44.066944,Bombing/Explosion,6.0,120.0,51.6
10338,2013,3,13,Syria,Damascus,33.461571,36.241951,Bombing/Explosion,3.0,50.0,21.8
10431,2013,3,18,Pakistan,Peshawar,34.004299,71.54483,Bombing/Explosion,6.0,45.0,21.6
10433,2013,3,18,Nigeria,Kano,12.023287,8.536534,Bombing/Explosion,39.0,75.0,53.4
10463,2013,3,19,Syria,Khan al-Assal,36.216213,37.163826,Bombing/Explosion,25.0,130.0,67.0
10531,2013,3,21,Pakistan,Jalozai,33.905685,71.809173,Bombing/Explosion,17.0,30.0,22.2
10551,2013,3,21,Syria,Damascus,33.5111,36.3064,Bombing/Explosion,50.0,84.0,63.6
10552,2013,3,22,Pakistan,Dera Allah Yar,28.37441,68.34808,Bombing/Explosion,8.0,40.0,20.8
10578,2013,3,23,Pakistan,Mir Ali,32.970328,70.277903,Bombing/Explosion,18.0,26.0,21.2
10744,2013,3,29,Iraq,Kirkuk,35.431862,44.380249,Bombing/Explosion,4.0,70.0,30.4
10882,2013,4,3,Afghanistan,Farah,32.374802,62.115719,Bombing/Explosion,53.0,95.0,69.8
10961,2013,4,6,Iraq,Baqubah,33.75,44.633333,Bombing/Explosion,23.0,60.0,37.8
11011,2013,4,8,Syria,Damascus,33.521992,36.292302,Bombing/Explosion,14.0,53.0,29.6
11192,2013,4,13,Somalia,Mogadishu,2.042338,45.336403,Bombing/Explosion,38.0,58.0,46.0
11223,2013,4,15,United States,Boston,42.350265,-71.080976,Bombing/Explosion,1.0,132.0,53.400000000000006
11224,2013,4,15,United States,Boston,42.350265,-71.080976,Bombing/Explosion,2.0,132.0,54.00000000000001
11296,2013,4,16,Pakistan,Peshawar,34.004378,71.580409,Bombing/Explosion,18.0,60.0,34.8
11364,2013,4,18,Iraq,Baghdad,33.297678,44.290423,Bombing/Explosion,28.0,50.0,36.8
11618,2013,4,26,Pakistan,Karachi,24.95011,66.96645,Bombing/Explosion,11.0,40.0,22.6
11620,2013,4,26,Iraq,Baghdad,33.315037,44.385052,Bombing/Explosion,4.0,46.0,20.8
11736,2013,4,29,Pakistan,Peshawar,34.003133,71.498678,Bombing/Explosion,9.0,43.0,22.599999999999998
11785,2013,4,30,Syria,Damascus,33.51247,36.298056,Bombing/Explosion,9.0,60.0,29.4
11957,2013,5,5,Tanzania,Arusha,-3.365789,36.67445,Bombing/Explosion,3.0,60.0,25.8
